DATE,SERIES,ISIN CODE,BOND NAME,COUPON RATE,MATURITY DATE,TTM,TODAY YIELD,TODAY LOW PRICE,TODAY FAIR PRICE,TODAY HIGH PRICE,CHANGE,YESTERDAY YIELD,YESTERDAY PRICE,LASTWEEK YIELD,LASTWEEK PRICE,LASTMONTH YIELD,LASTMONTH PRICE
20200316,FR0031,IDG000006206,Obligasi Negara RI Seri FR0031,0.15,20201115,0.67,4.449462,104.031503,104.231503,104.431503,1.83,4.551665,104.213202,4.515512,104.305871,4.64115,104.618677
20200316,FR0034,IDG000006503,Obligasi Negara RI Seri FR0034,0.128,20210615,1.25,4.894575,109.219211,109.444211,109.669211,9.23,5.012979,109.35192,4.886436,109.595465,4.95228,109.988925
20200316,FR0035,IDG000006602,Obligasi Negara RI Seri FR0035,0.129,20220615,2.25,5.496329,115.214901,115.439901,115.664901,12.18,5.572279,115.318065,5.354091,115.893579,5.357058,116.321179
20200316,FR0037,IDG000006800,Obligasi Negara RI Seri FR0037,0.12,20260915,6.5,6.871998,126.213677,126.513677,126.813677,-32.5,6.822378,126.838667,6.622376,128.088481,6.535499,128.843667
20200316,FR0039,IDG000007105,Obligasi Negara RI Seri FR0039,0.1175,20230815,3.42,6.043609,117.112513,117.372513,117.632513,0.38,6.056211,117.368746,5.773901,118.381204,5.69533,118.982793
20200316,FR0040,IDG000007204,Obligasi Negara RI Seri FR0040,0.11,20250915,5.5,6.766492,118.907896,119.167896,119.427896,-22.67,6.726326,119.394558,6.381717,121.191766,6.248551,122.093667
20200316,FR0042,IDG000007402,Obligasi Negara RI Seri FR0042,0.1025,20270715,7.33,7.194697,116.855452,117.155452,117.455452,-26.6,7.154484,117.421468,6.796633,119.706981,6.653415,120.7788
20200316,FR0043,IDG000007501,Obligasi Negara RI Seri FR0043,0.1025,20220715,2.33,5.539361,109.935019,110.160019,110.385019,13.01,5.61054,110.02995,5.38679,110.59422,5.384761,110.882653
20200316,FR0044,IDG000007709,Obligasi Negara RI Seri FR0044,0.1,20240915,4.5,6.455194,113.38726,113.64726,113.90726,-12.5,6.430311,113.772255,6.10852,115.157249,6.214854,114.884333
20200316,FR0045,IDG000007808,Obligasi Negara RI Seri FR0045,0.0975,20370515,17.18,7.967429,116.2,116.5,116.8,-133.69,7.840033,117.836858,7.579701,120.638323,7.555361,120.9428
