DATE,SERIES,ISIN,NAME,RATING,COUPON RATE,MATURITY DATE,TTM,TODAY FAIR YIELD,TODAY LOW PRICE,TODAY FAIR PRICE,TODAY HIGH PRICE,CHANGE(BPS),YESTERDAY FAIR YIELD,YESTERDAY FAIR PRICE,LASTWEEK FAIR YIELD,LASTWEEK FAIR PRICE,LASTMONTH FAIR YIELD,LASTMONTH FAIR PRICE
20200515,ADHI02ACN2,IDA0000984A7,Obligasi Berkelanjutan II Adhi Karya Tahap II Tahun 2019 Seri A,idA-,9.25,20220625,2.12,9.574989,97.777903,99.377903,100.977903,-0.58,9.571524,99.383698,9.742908,99.052799,9.797875,98.92402
20200515,ADHI02BCN2,IDA0000984B5,Obligasi Berkelanjutan II Adhi Karya Tahap II Tahun 2019 Seri B,idA-,9.75,20240625,4.12,10.42424,95.759792,97.759792,99.759792,28.72,10.511855,97.472623,10.655137,96.995951,10.739064,96.687833
20200515,ADHI02CN1,IDA000082002,Obligasi Berkelanjutan II Adhi Karya Tahap I Tahun 2017,idA-,9.25,20220622,2.11,9.665533,97.610118,99.210118,100.810118,-0.13,9.664331,99.2114,9.807047,98.934845,9.709515,99.098485
20200515,ADMF03BCN1,IDA0000691B6,Obligasi Berkelanjutan III Adira Finance Tahap I Tahun 2015 Seri B,idAAA,10.25,20200630,0.13,4.905415,99.672754,100.672754,101.672754,-1.46,4.906233,100.687315,5.149818,100.753303,4.969963,101.099975
20200515,ADMF03BCN6,IDA0000816B9,Obligasi Berkelanjutan III Adira Finance Tahap VI Tahun 2017 Seri B,idAAA,8.1,20200714,0.17,4.988054,99.51054,100.51054,101.51054,-0.95,4.982719,100.520011,5.219625,100.535491,5.139751,100.730673
20200515,ADMF03CCN2,IDA0000698C9,Obligasi Berkelanjutan III Adira Finance Tahap II Tahun 2015 Seri C,idAAA,10.25,20200825,0.28,5.223087,100.389263,101.389263,102.389263,-1.95,5.202008,101.408774,5.420901,101.437674,5.566855,101.671092
20200515,ADMF03CCN3,IDA0000719C3,Obligasi Berkelanjutan III Adira Finance Tahap III Tahun 2016 Seri C,idAAA,10.25,20210302,0.8,6.079589,102.229484,103.229484,104.229484,-5.27,6.026911,103.282203,6.194824,103.222424,6.556864,103.139444
20200515,ADMF03CCN4,IDA0000749C0,Obligasi Berkelanjutan III Adira Finance Tahap IV Tahun 2016 Seri C,idAAA,9.25,20210726,1.2,6.569295,101.766153,103.066153,104.366153,-6.34,6.521046,103.129564,6.672975,102.998834,6.887721,102.875552
20200515,ADMF03CCN5,IDA0000795C3,Obligasi Berkelanjutan III Adira Finance Tahap V Tahun 2017 Seri C,idAAA,8.9,20220322,1.85,7.157816,101.697377,102.997377,104.297377,-3.25,7.141674,103.029914,7.291021,102.794846,7.317238,102.833251
20200515,ADMF03CCN6,IDA0000816C7,Obligasi Berkelanjutan III Adira Finance Tahap VI Tahun 2017 Seri C,idAAA,8.4,20220714,2.17,7.373837,100.733312,102.033312,103.333312,0.39,7.376996,102.029439,7.530467,101.736094,7.535661,101.773548
20200515,ADMF04ACN6,IDA0001015A9,Obligasi Berkelanjutan IV Adira Finance Tahap VI Tahun 2019 Seri A,idAAA,6.75,20201014,0.42,5.479551,99.517295,100.517295,101.517295,-1.8,5.444485,100.535286,5.645523,100.473299,5.94657,100.392931
20200515,ADMF04BCN1,IDA0000873B0,Obligasi Berkelanjutan IV Adira Finance Tahap I Tahun 2017 Seri B,idAAA,7.45,20201212,0.58,5.752943,99.954796,100.954796,101.954796,-3.07,5.707035,100.985506,5.891355,100.908998,6.936737,100.325216
20200515,ADMF04BCN3,IDA0000930B8,Obligasi Berkelanjutan IV Adira Finance Tahap III Tahun 2018 Seri B,idAAA,8,20200816,0.26,5.174295,99.712521,100.712521,101.712521,-1.22,5.156263,100.724715,5.378771,100.716605,5.484727,100.835718
