List of Haircut
Date Uploaded: 20200630
Date|Instrument Code|Instrument Name|Haircut (%)|Keterangan|
20200630|AALI|Astra Agro Lestari Tbk.|15|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ABBA|Mahaka Media Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ABDA|Asuransi Bina Dana Arta Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ABMM|ABM Investama Tbk.|65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ACES|Ace Hardware Indonesia Tbk.|10|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ACST|Acset Indonusa Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ADES|Akasha Wira International Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ADHI|Adhi Karya (Persero) Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ADMF|Adira Dinamika Multi Finance Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ADMG|Polychem Indonesia Tbk|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|ADRO|Adaro Energy Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AGAR|PT Asia Sejahtera Mina Tbk. |65|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AGII|Aneka Gas Industri Tbk.|20|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|60|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AGRS|Bank IBK Indonesia Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AHAP|Asuransi Harta Aman Pratama Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AIMS|Akbar Indo Makmur Stimec Tbk|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AISA|Tiga Pilar Sejahtera Food Tbk.|100|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
20200630|AKKU|Anugerah Kagum Karya Utama Tbk.|75|PENG- 126/DIR/KPEI/0620  tgl. 29 Juni 2020|
