Booking Date|Fund Code|Fund Name|IM Code|IM Name|CB Code|CB Name|SA Code|SA Name|Outstanding Unit Balance|Amount (IDR Equivalent)
20201216|NI002MMCDANLIK00|REKSA DANA BNI AM DANA LIKUID|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BJB69|BANK BJB|456580.7373|753833060.51
20201216|NI002PFCDALANA00|REKSA DANA TERPROTEKSI BNI AM PROTEKSI DALANA|NI002|PT BNI Asset Management|BCA01|BANK CENTRAL ASIA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|245955000|249901151211
20201216|NI002FICMAKARA00|Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|1150640.0153|1404331975.23
20201216|NI002FICITBHMI00|Reksa Dana Pendapatan Tetap ITB Harmoni BNI AM|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|9013964.7494|11430225605.21
20201216|NI002MXCRDBUGM00|REKSA DANA BNI AM UGM PROGRESSIVE BALANCED|NI002|PT BNI Asset Management|BII01|PT Bank Maybank Indonesia Tbk|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|2783391.8103|3743718487.71
20201216|NI002MMCDANLIK00|REKSA DANA BNI AM DANA LIKUID|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|431052392.6148|711684742302.74
20201216|NI002PFCBNPAL000|REKSA DANA TERPROTEKSI BNI AM PROTEKSI ALBASIA|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|100400000|106278420000
20201216|NI002PFCKAMALA00|REKSA DANA TERPROTEKSI BNI AM PROTEKSI KAMALA|NI002|PT BNI Asset Management|BCA01|BANK CENTRAL ASIA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|182430000|186108135417
20201216|NI002EQSSHMMUS00|REKSA DANA BNIAM DANA SAHAM SYARIAH MUSAHAMAH|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|390519.6234|474883577.64
20201216|NI002PFCBNIAPL00|REKSA DANA TERPROTEKSI BNI AM PROTEKSI LAVANYA|NI002|PT BNI Asset Management|SCBJK|BUT. STANDARD CHARTERED BANK|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|250000000|251867500000
20201216|NI002MMCDANPUK00|REKSA DANA BNIAM DANA PASAR UANG KEMILAU|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|583066.5131|1135685292.89
20201216|NI002FISDOMDHU00|REKSA DANA BNI AM DANA DOMPET DHUAFA|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|116992.987|376085492.22
20201216|NI002IFCBNIX3000|REKSA DANA INDEKS BNI AM INDEKS IDX30|NI002|PT BNI Asset Management|SCBJK|BUT. STANDARD CHARTERED BANK|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|68740534.9239|61861669594.07
20201216|NI002PFCACACIA00|Reksa Dana Terproteksi BNI AM Proteksi Acacia|NI002|PT BNI Asset Management|BALI1|BANK PERMATA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|151300000|156955624260
20201216|NI002PFCBNIPRA00|REKSA DANA TERPROTEKSI BNI AM PROTEKSI ADENIUM|NI002|PT BNI Asset Management|KHANA|PT. BANK KEB HANA INDONESIA|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|200500000|201341077450
20201216|NI002PFCCENDAN00|Reksa Dana Terproteksi BNI AM Proteksi Cendana|NI002|PT BNI Asset Management|BALI1|BANK PERMATA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|154000000|155025409000
20201216|NI002PFCEBONY100|REKSA DANA TERPROTEKSI BNI AM PROTEKSI EBONY|NI002|PT BNI Asset Management|BCA01|BANK CENTRAL ASIA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|187200000|174706702560
20201216|NI002PFCRAMAND00|REKSA DANA TERPROTEKSI BNI AM PROTEKSI RAMANDA|NI002|PT BNI Asset Management|BCA01|BANK CENTRAL ASIA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|164505000|167993427228
20201216|NI002PFCVISHKA00|Reksa Dana Terproteksi BNI AM Proteksi Vishaka|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|230000000|234772040000
20201216|NI002MXCDANREN00|REKSA DANA BNI AM DANA TERENCANA|NI002|PT BNI Asset Management|SCBJK|BUT. STANDARD CHARTERED BANK|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|1341552.6229|1891964833.02
20201216|NI002EQCDANSIE00|REKSA DANA BNIAM DANA SAHAM INSPIRING EQUITY FUND|NI002|PT BNI Asset Management|BDMN2|BANK DANAMON INDONESIA Tbk, PT|BNI69|PT. BANK NEGARA INDONESIA (PERSERO),TBK|9564134.6373|10097135252.92
20201216|NI002FICMAKARA00|Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BPI69|PT Bareksa Portal Investasi|103877.2437|126779994.51
20201216|NI002MMCDANLIK00|REKSA DANA BNI AM DANA LIKUID|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BPI69|PT Bareksa Portal Investasi|342242.8256|565056594.78
20201216|NI002EQCDANSIE00|REKSA DANA BNIAM DANA SAHAM INSPIRING EQUITY FUND|NI002|PT BNI Asset Management|BDMN2|BANK DANAMON INDONESIA Tbk, PT|BPI69|PT Bareksa Portal Investasi|4508037.5019|4759266374.65
20201216|NI002MMCDANPUK00|REKSA DANA BNIAM DANA PASAR UANG KEMILAU|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BPI69|PT Bareksa Portal Investasi|437692.1372|852527991
20201216|NI002FICITBHMI00|Reksa Dana Pendapatan Tetap ITB Harmoni BNI AM|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BTB69|PT Bibit Tumbuh Bersama|1897299.7099|2405885126.89
20201216|NI002EQCSHMMAH00|REKSA DANA SAHAM BNIAM MAHOGANY|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BTB69|PT Bibit Tumbuh Bersama|1761432.3693|1597002657.63
20201216|NI002FICMAKARA00|Reksa Dana BNI AM Dana Pendapatan Tetap Makara Investasi|NI002|PT BNI Asset Management|BNGA1|BANK CIMB NIAGA TBK, PT|BTB69|PT Bibit Tumbuh Bersama|337357.3338|411737541.4
20201216|NI002EQSSHMMUS00|REKSA DANA BNIAM DANA SAHAM SYARIAH MUSAHAMAH|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BTB69|PT Bibit Tumbuh Bersama|1256818.3841|1528328859.62
20201216|NI002EQCDANSIE00|REKSA DANA BNIAM DANA SAHAM INSPIRING EQUITY FUND|NI002|PT BNI Asset Management|BDMN2|BANK DANAMON INDONESIA Tbk, PT|BTB69|PT Bibit Tumbuh Bersama|10027569.5172|10586396941.58
20201216|NI002IFCBNIX3000|REKSA DANA INDEKS BNI AM INDEKS IDX30|NI002|PT BNI Asset Management|SCBJK|BUT. STANDARD CHARTERED BANK|BTB69|PT Bibit Tumbuh Bersama|287603626.1741|258823131302.86
20201216|NI002MMCDANLIK00|REKSA DANA BNI AM DANA LIKUID|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BTB69|PT Bibit Tumbuh Bersama|14824444.8066|24475751353.49
20201216|NI002MMSDANLCR00|REKSA DANA BNIAM DANA LANCAR SYARIAH|NI002|PT BNI Asset Management|DBSI1|PT BANK DBS INDONESIA|BTB69|PT Bibit Tumbuh Bersama|4584650.4526|7064671268.43
