NAV Date|Fund Code|Fund Name|IM Code|IM Name|CB Code|CB Name|NAV per Unit|NAV|30 Days Performance (%)|Last 1 Year Performance (%)|Last 1 Year Real Performance (%)|Outstanding Unit
20200121|IIM02EQCINUSAN00|REKSA DANA INSIGHT NUSANTARA EQUITY FUND I NUSANTARA|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|924.3833|37790439006.66|-7.98|-15.46|-15.46|40881785.0947
20200121|IIM02EQCIWEALT00|REKSA DANA INSIGHT WEALTH|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1176.605|69710544434.56|-2.53|-4.75|-4.75|59247174.6043
20200121|IIM02FICIGOVFU00|REKSA DANA INSIGHT GOVERNMENT FUND|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|1242.5082|423636189103.95|2.71|10.88|10.88|340952421.3996
20200121|IIM02FICIHEALT00|REKSA DANA INSIGHT HEALTH FIXED INCOME FUND|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1009.017|151114842005.35|1.14|9.99|9.99|149764375.2758
20200121|IIM02FICIINDON00|REKSA DANA INSIGHT INDONESIA FIXED INCOME FUND|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|994.2|29328908938.54|1.09|8.25|8.25|29500000
20200121|IIM02FICIINFRA00|REKSA DANA INSIGHT INFRA DEVELOPMENT IINFRA|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|1146.5048|1360676302976.73|0.37|6.17|6.17|1186803876.7993
20200121|IIM02FICIPRIME00|Reksa Dana Insight Prime Fixed Income Fund|IIM02|PT Insight Investments Management|BNGA1|BANK CIMB NIAGA TBK, PT|1080.9687|15003499912.2|0.8|0.81|0.81|13879680.1556
20200121|IIM02FICIRENEW00|REKSA DANA INSIGHT RENEWABLE ENERGY FUND|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1696.277|57291734907.36|0.72|8.45|8.45|33774978.8454
20200121|IIM02FICISCHOL00|REKSA DANA  INSIGHT SCHOLARSHIP FUND|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|1234.3339|883769481646.04|2.43|5.89|5.89|715989015.1161
20200121|IIM02FICISMART00|REKSA DANA INSIGHT SMART FIXED INCOME FUND I SMART|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1006.49|81472263809.04|0.89|6.92|6.92|80946940.9593
20200121|IIM02FISD0IS0100|Reksa Dana Syariah Insight Amanah Pendapatan Tetap Syariah I AMANAH|IIM02|PT Insight Investments Management|HSBC1|PT Bank HSBC Indonesia|1224.95|223769799586|2.51|16.59|13.74|182675375.3087
20200121|IIM02FISIASNA000|REKSA DANA SYARIAH INSIGHT SIMAS ASNA PENDAPATAN TETAP SYARIAH I ASNA|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|1304.5269|297111562395.66|1.28|23.93|23.93|227754255.2522
20200121|IIM02FISIHAJJS00|RD HAJI SYARIAH I HAJJ|IIM02|PT Insight Investments Management|BNGA1|BANK CIMB NIAGA TBK, PT|3577.9523|366683503018|0.59|4.76|6.33|102484179.6247
